participant_id,q10_meat,q11_dairy,q12_eggs,q13_change
P0361,0.28,0.65,0.28,somewhat_less
P0363,1.0,1.0,0.0,somewhat_less
P0364,2.0,4.0,0.0,about_the_same
P0365,0.0,4.0,2.0,about_the_same
P0368,0.0,2.0,0.0,somewhat_less
P0370,0.0,2.0,2.0,about_the_same
P0371,0.0,3.0,0.1,about_the_same
P0373,10.0,16.0,3.0,much_more
P0374,0.0,1.0,1.0,somewhat_less
P0375,0.25,0.25,0.0,about_the_same
P0379,1.0,4.0,0.0,somewhat_less
P0381,1.0,4.0,0.0,somewhat_less
P0382,0.5,0.0,0.0,about_the_same
P0383,0.0,2.0,1.0,somewhat_more
P0384,1.0,2.0,0.0,somewhat_less
P0388,2.0,2.0,14.0,somewhat_less
P0389,1.0,1.0,1.0,much_less
P0391,0.0,1.0,0.0,about_the_same
P0392,0.5,0.5,0.0,about_the_same
P0393,1.0,1.0,2.0,about_the_same
P0395,0.0,0.25,0.0,somewhat_less
P0396,1.0,0.5,1.0,somewhat_less
P0401,1.0,0.0,0.0,about_the_same
P0404,1.0,1.0,1.0,about_the_same
P0405,0.0,2.0,1.0,about_the_same
P0406,1.0,0.5,0.0,about_the_same
P0409,1.0,5.0,0.5,about_the_same
P0412,0.0,3.0,2.0,about_the_same
P0414,0.0,0.5,1.0,somewhat_less
P0415,0.0,1.0,0.0,about_the_same
P0416,0.0,0.0,0.0,somewhat_less
P0419,1.0,1.0,0.0,about_the_same
P0424,3.0,1.5,0.3,somewhat_less
P0426,2.0,1.0,1.0,somewhat_less
P0430,3.0,2.0,0.0,about_the_same
P0432,0.0,1.0,0.0,about_the_same
P0436,0.0,0.0,0.0,somewhat_less
P0438,1.0,1.0,0.0,about_the_same
P0439,2.0,2.0,1.0,somewhat_less
P0441,1.0,0.0,1.0,much_less
P0442,1.0,1.0,0.0,somewhat_less
P0443,1.0,1.0,0.0,somewhat_less
P0445,0.5,0.2525,0.2,about_the_same
P0446,0.0,0.0,1.0,about_the_same
P0449,2.0,2.0,1.0,somewhat_more
P0451,6.0,0.0,2.0,about_the_same
P0453,0.0,2.0,0.0,somewhat_less
P0454,0.5,2.0,0.5,somewhat_less
P0455,0.0,0.0,0.0,about_the_same
P0456,0.0,0.0,0.0,about_the_same
P0457,0.0,1.0,1.0,about_the_same
P0460,1.0,0.0,0.0,somewhat_less
P0464,1.0,3.0,0.0,somewhat_less
P0468,0.0,0.0,0.0,much_less
P0470,1.0,0.0,0.0,much_less
P0471,0.5,0.3,0.0,about_the_same
P0472,1.0,1.0,0.0,about_the_same
P0473,0.5,0.5,0.0,somewhat_less
P0476,0.0,0.5,0.0,somewhat_less
P0477,0.0,0.0,0.0,about_the_same
P0480,0.0,4.0,3.0,about_the_same
P0483,4.0,3.0,1.0,somewhat_more
P0485,0.0,1.0,0.0,somewhat_less
P0490,0.75,0.5,0.0,somewhat_less
P0491,0.0,1.0,1.0,much_less
P0493,1.0,1.0,0.0,about_the_same
P0494,1.0,0.5,0.25,about_the_same
P0495,1.0,1.0,1.0,somewhat_less
P0496,0.5,1.0,0.5,about_the_same
P0498,1.0,2.0,0.0,much_less
P0499,1.0,0.5,0.0,somewhat_less
P0501,0.2,0.1,2.0,much_less
P0502,0.0,1.0,1.0,about_the_same
P0504,1.0,1.0,0.0,somewhat_less
P0505,0.0,1.0,0.0,somewhat_less
P0506,1.0,2.0,0.5,somewhat_less
P0509,0.5,1.0,0.5,somewhat_less
P0514,3.0,1.0,3.0,about_the_same
P0518,0.5,1.5,0.2,somewhat_less
P0520,1.0,0.0,1.0,somewhat_less
P0521,0.0,1.0,1.0,somewhat_less
P0522,1.0,0.0,1.0,somewhat_less
P0526,0.5,0.5,0.0,about_the_same
P0530,1.0,0.0,1.0,somewhat_less
P0533,0.0,1.0,2.0,somewhat_less
P0534,3.0,1.0,0.0,somewhat_less
P0535,0.0,2.0,1.0,about_the_same
P0536,0.0,2.0,0.0,much_less
P0538,1.0,1.0,0.0,somewhat_less
P0539,1.0,0.0,0.0,somewhat_less
P0540,2.0,10.0,1.0,somewhat_less
